year,total,income_n,income_n_missing,income_n_zero,income_n_positive,income_zero_fraction,income_missing_fraction,income_sum,income_xmin,income_xmax,income_mean,income_median,income_std,income_gini,income_pietra,income_k,income_zanardi,income_legacy_z,income_top_10_share,income_top_1_share,income_top_0_1_share,income_herfindahl,income_herfindahl_normalized,income_shannon_entropy,income_shannon_inequality,income_theil,income_atkinson_0.5,income_gini_poor,income_gini_rich,income_delta_gini,income_kolkata_excess,income_pietra_over_kolkata_excess,income_pietra_over_gini,income_kolkata_small_g_prediction,income_pietra_small_g_prediction,income_adj_n,income_adj_n_missing,income_adj_n_zero,income_adj_n_positive,income_adj_zero_fraction,income_adj_missing_fraction,income_adj_sum,income_adj_xmin,income_adj_xmax,income_adj_mean,income_adj_median,income_adj_std,income_adj_gini,income_adj_pietra,income_adj_k,income_adj_zanardi,income_adj_legacy_z,income_adj_top_10_share,income_adj_top_1_share,income_adj_top_0_1_share,income_adj_herfindahl,income_adj_herfindahl_normalized,income_adj_shannon_entropy,income_adj_shannon_inequality,income_adj_theil,income_adj_atkinson_0.5,income_adj_gini_poor,income_adj_gini_rich,income_adj_delta_gini,income_adj_kolkata_excess,income_adj_pietra_over_kolkata_excess,income_adj_pietra_over_gini,income_adj_kolkata_small_g_prediction,income_adj_pietra_small_g_prediction
1987,296508,292615,3893,0,292615,0.0,0.013129493976553752,1170646308.2379508,3.0,500000.0,4000.636700914002,1916.6666666666667,7741.134848936022,0.6046304992950189,0.45396419217544515,0.7267185094855623,0.019125354224481233,-0.1054704283178042,0.483846908671026,0.13988360879311534,0.03390413751563148,1.621283328175254e-05,1.2795417207447421e-05,11.83895514648016,0.0594010384263548,0.747657884298972,0.3027741999663407,0.35153728492378367,0.40976410845030825,0.058226823526524585,0.45343701897112454,1.0011626161567417,0.7508125916650812,0.7267364372356321,0.45347287447126416,292615,3893,0,292615,0.0,0.013129493976553752,66363769.909363315,0.1700695661251953,28344.927687532545,226.79551598299238,108.65555613554145,438.8438150250594,0.6046304992950189,0.4539641921753865,0.7267185094855458,0.01912535422446215,-0.10547042831780436,0.48384690867099756,0.13988360879304862,0.03390413751556476,1.6212833281752532e-05,1.2795417207447411e-05,11.838955146480156,0.059401038426355024,0.7476578842989715,0.3027741999663406,0.3515372849237738,0.4097641084502381,0.0582268235264643,0.4534370189710917,1.001162616156685,0.7508125916649842,0.7267364372356321,0.45347287447126416
1988,293627,289633,3994,0,289633,0.0,0.013602291342417422,8653468081.95168,2.5,4500000.0,29877.355418587245,13333.333333333334,62085.83170904581,0.6245229030230623,0.4717852816703003,0.7354975364206187,0.02082045672608121,-0.09890036247134054,0.5069927590632928,0.14986604367576328,0.036480405217531264,1.836173597352584e-05,1.4909142205350959e-05,11.764226836988133,0.0645769052459102,0.8121430462899675,0.3242042831395,0.36117076314644736,0.42800941448268925,0.0668386513362419,0.4709950728412373,1.0016777433026978,0.7554331144407658,0.7341960886336484,0.46839217726729676,289633,3994,0,289633,0.0,0.013602291342417422,71972240.71601605,0.02079288905743084,37427.20030337552,248.4946146192459,110.89540830629784,516.3775243058045,0.6245229030230619,0.4717852816702907,0.7354975364206167,0.020820456726065768,-0.0989003624713455,0.5069927590632902,0.1498660436757424,0.03648040521751639,1.836173597352584e-05,1.4909142205350959e-05,11.764226836988133,0.0645769052459102,0.8121430462899677,0.3242042831394999,0.36117076314648766,0.4280094144826796,0.06683865133619193,0.4709950728412333,1.0016777433026858,0.7554331144407509,0.7341960886336483,0.46839217726729643
1989,300586,113568,187018,50,113518,0.0004402648633417864,0.6221780122826746,336005445.8634976,1.5714285714285714,625002.0,2958.627834103776,1040.8,8534.331979992949,0.6849621476812187,0.5254684297179391,0.7625572865096807,0.01586508457021638,-0.08322569043273866,0.5693846717212667,0.19931667516730733,0.059071972073720724,8.207064009313077e-05,7.326598795509853e-05,10.58314692642152,0.09080720509094387,1.0570101290247018,0.3967657398845703,0.4114038757437482,0.4714213398893521,0.06001746414560388,0.5251145730193614,1.0006738656985714,0.7671495884798761,0.756860805380457,0.5137216107609139,113568,187018,50,113518,0.0004402648633417864,0.6221780122826746,267211952.11510527,1.2496955074694418,497039.5764469012,2352.880671624976,827.7074172017606,6787.019485686348,0.6849621476812187,0.5254684297178702,0.7625572865096437,0.01586508457015528,-0.08322569043275357,0.569384671721138,0.1993166751671549,0.05907197207357784,8.20706400931308e-05,7.326598795509856e-05,10.583146926421524,0.09080720509094353,1.0570101290247023,0.3967657398845703,0.4114038757438468,0.4714213398892131,0.060017464145366295,0.5251145730192874,1.0006738656985812,0.7671495884797757,0.756860805380457,0.5137216107609139
1990,305794,115785,190009,196,115589,0.0016927926760806667,0.6213627474705193,9349337838.834618,21.571428571428573,25000004.0,80747.4011213423,31501.5,211427.28391755544,0.6608834465792262,0.5014083268909622,0.750603452394576,0.01132202121846417,-0.09207886617228914,0.5376052047598883,0.1769724778433005,0.04937926561079209,6.784858462758603e-05,5.9212398700209425e-05,10.710833965329238,0.0813634483280854,0.9486563367228251,0.36746760845150117,0.4065056218910692,0.44647688235639615,0.03997126046532695,0.5012069047891521,1.0004018741559333,0.7586940321871926,0.7478312924672098,0.4956625849344196,115785,190009,196,115589,0.0016927926760806667,0.6213627474705193,302869499.26201004,0.6988011217925097,809868.9793385471,2615.7921946885176,1020.4833428279948,6849.134849363698,0.6608834465792262,0.5014083268909204,0.7506034523945494,0.011322021218448232,-0.09207886617228714,0.5376052047598272,0.176972477843221,0.04937926561072625,6.784858462758605e-05,5.921239870020945e-05,10.71083396532924,0.08136344832808518,0.9486563367228253,0.36746760845150084,0.40650562189110434,0.4464768823563722,0.03997126046526783,0.5012069047890988,1.0004018741559564,0.7586940321871294,0.7478312924672098,0.4956625849344196
1992,76440,76440,0,1118,75322,0.014625850340136054,0.0,60395862182.38947,0.5,125500000.0,790108.087158418,415000.0,1583958.8649833836,0.5856840442536253,0.43431213350819176,0.7167079609202114,0.020203574850999415,-0.11102064092693202,0.465834696511192,0.1377168082301652,0.03669236220009875,6.56582627136737e-05,5.257679459220055e-05,10.533371867477072,0.06322243015278783,0.7108895308771394,0.2914072541940732,0.3458353765571368,0.4041147688931432,0.058279392336006375,0.43341592184042277,1.0020677866746643,0.7415468079921206,0.7196315165951095,0.439263033190219,76440,0,1118,75322,0.014625850340136054,0.0,24047113.417617787,0.0001990791467219882,49968.865827219044,314.5880876192803,165.23569177925023,630.6663585672418,0.5856840442536253,0.434312133508222,0.7167079609202228,0.020203574850992494,-0.11102064092694167,0.4658346965111888,0.13771680823016508,0.03669236220009875,6.565826271367369e-05,5.257679459220054e-05,10.533371867477069,0.06322243015278817,0.7108895308771392,0.2914072541940733,0.34583537655711283,0.40411476889310066,0.058279392335987834,0.43341592184044564,1.0020677866746812,0.7415468079921723,0.7196315165951095,0.439263033190219
1993,77843,77843,0,1025,76818,0.013167529514535668,0.0,1362241689.533658,0.14285714285714285,4017500.0,17499.86112474671,8666.666666666666,38989.91766117366,0.6097346922973306,0.45720440352020153,0.7279074113905831,0.02733777502866756,-0.10086423066792778,0.495802694773114,0.153344320297794,0.04076875686111048,7.661547024846771e-05,6.376991920237754e-05,10.470101113960975,0.07035309324745986,0.792348142752337,0.3151528232710299,0.3464917670085142,0.4306528310255551,0.08416106401704093,0.45581482278116625,1.0030485641747162,0.7498415446848983,0.728650509611499,0.45730101922299793,77843,0,1025,76818,0.013167529514535668,0.0,27396660.780572146,0.0028730648261680414,80797.76557391076,351.94764822234686,174.29926612086118,784.143927052543,0.6097346922973308,0.4572044035202052,0.7279074113905827,0.02733777502868523,-0.10086423066792026,0.4958026947731361,0.15334432029781464,0.040768756861130795,7.661547024846773e-05,6.376991920237755e-05,10.470101113960975,0.07035309324745986,0.792348142752337,0.3151528232710299,0.34649176700850426,0.43065283102559954,0.08416106401709528,0.45581482278116536,1.0030485641747262,0.749841544684904,0.728650509611499,0.4573010192229981
1995,83455,83455,0,1209,82246,0.014486849200167755,0.0,20962074.798190154,0.3333333333333333,23000.0,251.17817743922058,118.0,486.0617795082694,0.607814895393497,0.45758507259690545,0.728332646906708,0.023618375055198322,-0.10269608357284708,0.4907062090724891,0.14423860871935845,0.03259526648697231,5.685307383086414e-05,4.4871105957231126e-05,10.569422728449258,0.06729931924147359,0.762640114963259,0.3104229996308425,0.3456764785830939,0.41822926980335273,0.07255279122025882,0.4566652938134159,1.0020141201793744,0.7528362270567039,0.7279305857725613,0.45586117154512273,83455,0,1209,82246,0.014486849200167755,0.0,46594066.9001507,0.7409264484985298,51123.92494639856,558.3136648511257,262.2879627684796,1080.4080841258126,0.607814895393497,0.45758507259694053,0.7283326469067329,0.023618375055230137,-0.10269608357284606,0.49070620907255313,0.14423860871945648,0.03259526648706901,5.6853073830864144e-05,4.487110595723114e-05,10.569422728449258,0.06729931924147359,0.7626401149632591,0.3104229996308424,0.3456764785830691,0.41822926980342984,0.07255279122036074,0.4566652938134659,1.0020141201793415,0.7528362270567617,0.7279305857725613,0.45586117154512273
1996,82551,82551,0,1677,80874,0.02031471454010248,0.0,23423588.110675313,0.25,30000.0,283.7468729715608,132.0,541.8219154288261,0.6093421955329017,0.45792350414386795,0.7286773716283215,0.017350253538443484,-0.10478586874078834,0.48735094685968483,0.14019100697853226,0.03276350160533925,5.628331351794528e-05,4.417012494512296e-05,10.562399463658364,0.06702240092862921,0.7587720994869178,0.3132082033947847,0.35763896598698236,0.41111334869080174,0.05347438270381938,0.45735474325664294,1.001243588036663,0.7515046676578664,0.7285033233248381,0.4570066466496763,82551,0,1677,80874,0.02031471454010248,0.0,47249041.04162939,0.5042891039833434,60514.692478001205,572.3618253156156,266.2646469032053,1092.939553000566,0.6093421955329019,0.45792350414384586,0.7286773716283089,0.017350253538449958,-0.10478586874078032,0.4873509468596591,0.1401910069785126,0.03276350160531616,5.6283313517945285e-05,4.417012494512297e-05,10.562399463658366,0.06702240092862899,0.7587720994869182,0.3132082033947846,0.35763896598694866,0.4111133486907865,0.05347438270383781,0.45735474325661785,1.0012435880366697,0.7515046676578299,0.7285033233248382,0.45700664664967644
1997,87988,87988,0,1514,86474,0.017206891848888486,0.0,26120458.570674993,0.25,53820.0,296.8638742859821,138.33333333333334,602.6969891096128,0.6087982134452548,0.45678271765155215,0.7280504056763202,0.020337877672139456,-0.10382411372408257,0.4893153025853313,0.14488984506141334,0.03461111428118957,5.8209292667612934e-05,4.6844638903905436e-05,10.61681671850365,0.067469652133746,0.7681390020219666,0.31279618658539987,0.35434517794979165,0.41688103938019727,0.06253586143040563,0.45610081135264036,1.0014950780220924,0.7503023293491113,0.7282993300419706,0.45659866008394107,87988,0,1514,86474,0.017206891848888486,0.0,48043047.68839347,0.4598220161258061,98990.48363156353,546.0181807563927,254.43484892294606,1108.5333785813407,0.6087982134452548,0.4567827176515581,0.7280504056763256,0.020337877672157938,-0.1038241137240775,0.4893153025853655,0.14488984506144553,0.03461111428122332,5.820929266761292e-05,4.6844638903905415e-05,10.616816718503646,0.06746965213374634,0.7681390020219663,0.3127961865854,0.3543451779497786,0.41688103938024185,0.06253586143046325,0.45610081135265124,1.0014950780220815,0.7503023293491211,0.7282993300419706,0.45659866008394107
1998,88562,88562,0,1432,87130,0.01616946320092139,0.0,27662250.35384553,0.25,40500.0,312.3489798541759,144.66666666666666,625.4432112744173,0.6095628702929219,0.45837507471998135,0.7286678974691722,0.02375132135095635,-0.1021991814500876,0.49281773377313787,0.1454816096900644,0.03346572150945737,5.656494039327789e-05,4.527392702328877e-05,10.61994032045127,0.06772775004128029,0.7715178302354136,0.31295863726554585,0.3483598707797872,0.42158758270737473,0.07322771192758754,0.4573357949383443,1.002272465425054,0.7519734174420957,0.7285860763598457,0.4571721527196914,88562,0,1432,87130,0.01616946320092139,0.0,46454727.06073266,0.41983864713192665,68013.86083537212,524.5446925400586,242.94663047367487,1050.3409267171965,0.6095628702929214,0.45837507471995903,0.7286678974691543,0.023751321350941414,-0.10219918145008532,0.49281773377309623,0.14548160969001633,0.03346572150940741,5.656494039327789e-05,4.527392702328877e-05,10.61994032045127,0.06772775004128029,0.7715178302354133,0.31295863726554585,0.3483598707797993,0.4215875827073377,0.07322771192753841,0.45733579493830856,1.0022724654250836,0.7519734174420596,0.7285860763598455,0.4571721527196911
