year,value_measure,normalization_mean,cutoff_normalized,cutoff_income_adj,cutoff_quantile,n_total,n_body,n_tail,body_fraction,tail_fraction,gompertz_intercept_mode,gompertz_A,gompertz_A_theoretical,gompertz_A_free_diagnostic,gompertz_A_free_deviation,gompertz_B,gompertz_B_free_diagnostic,gompertz_r2,gompertz_rmse,pareto_alpha,pareto_density_exponent,pareto_beta,pareto_r2,pareto_rmse,pareto_ks,continuity_error,joint_log_likelihood,joint_aic,joint_bic,likelihood_type,candidate_count,second_best_cutoff_normalized,second_best_log_likelihood,log_likelihood_difference,profile_ci_lower,profile_ci_upper,profile_ci_width,sensitivity_cutoff_p20,sensitivity_cutoff_p40,sensitivity_cutoff_p60,sensitivity_spread,sensitivity_max_relative_change,selection_criterion,fit_status,failure_reason
1987,income_adj,226.79551598299238,4.887265949049769,1108.4100026608512,0.9701655759274131,292615,283885,8730,0.9701655759274131,0.029834424072586845,fixed,1.5271796258079011,1.5271796258079011,1.5257365186052934,-0.001443107202607763,0.3240182119653212,0.3053842848553923,0.9914718378948968,0.028255751191539946,2.142226048991316,3.142226048991316,77.02292974281774,0.9405378672552189,0.607385679039736,0.042945278646436436,0.0,-262074.13396822783,524154.26793645567,524186.027775548,normalized_piecewise_microdata,68,4.654538999095018,-262117.08783520205,42.95386697421782,4.887265949049769,4.887265949049769,0.0,4.887265949049769,4.887265949049769,4.887265949049769,0.0,0.0,log_likelihood,ok_interior,
1988,income_adj,248.4946146192459,1.3124388301960053,326.13398132089026,0.8171582658053468,289633,236676,52957,0.8171582658053468,0.18284173419465324,fixed,1.5271796258079011,1.5271796258079011,1.5320083247975238,0.004828698989622682,0.34603892265951575,0.3677067499775383,0.9914409308355324,0.008845928963467134,1.346017779431972,2.346017779431972,26.84758575090479,0.6693087711335671,1.8066997902685775,0.05632175773695597,3.552713678800501e-15,-251496.06268287875,502998.1253657575,503029.85447540734,normalized_piecewise_microdata,69,1.3780607717058058,-251497.14478650602,1.082103627268225,1.2499417430438147,1.3780607717058058,0.1281190286619911,1.3124388301960053,1.3124388301960053,1.3124388301960053,0.0,0.0,log_likelihood,ok_interior,
1989,income_adj,2353.917018579479,0.8406151625879106,1978.7383372916386,0.7288711922338308,113518,82740,30778,0.7288711922338308,0.27112880776616927,fixed,1.5271796258079011,1.5271796258079011,1.5306382976882906,0.003458671880389508,0.4156090012403417,0.43938892730788337,0.9930831239762559,0.0066789576334243496,1.1650475338636086,2.165047533863609,21.009729047437673,0.7677162425824211,1.3978960540396221,0.07889949561715998,3.552713678800501e-15,-86564.98339748236,173135.9667949647,173164.88594504562,normalized_piecewise_microdata,67,1.0217729839703718,-86570.87871488265,5.895317400296335,0.8406151625879106,0.8406151625879106,0.0,0.8406151625879106,0.8406151625879106,0.8406151625879106,0.0,0.0,log_likelihood,ok_interior,
1990,income_adj,2620.2276969435675,0.9217804759027264,2415.2747334621463,0.7330974400678265,115589,84738,30851,0.7330974400678265,0.2669025599321735,fixed,1.5271796258079011,1.5271796258079011,1.5305146922376718,0.003335066429770661,0.37961911215417266,0.398971674238367,0.9936721415828974,0.006154036724172296,1.2460821402925528,2.246082140292553,23.195522920912914,0.7359510088536246,1.703511570525388,0.07614509962701038,0.0,-94350.61461195121,188707.22922390242,188736.20261212738,normalized_piecewise_microdata,68,1.2352739973704818,-94364.70291068694,14.088298735732678,0.9217804759027264,0.9217804759027264,0.0,0.9217804759027264,0.9217804759027264,0.9217804759027264,0.0,0.0,log_likelihood,ok_interior,
1992,income_adj,319.2575000347546,0.6186660708030185,197.5137831208962,0.5467459706327501,75322,41182,34140,0.5467459706327501,0.45325402936724996,fixed,1.5271796258079011,1.5271796258079011,1.5294230872137584,0.0022434614058572944,0.2851965209286448,0.27963591192752996,0.9628833366378929,0.005810221222590308,1.2919276752659348,2.291927675265935,25.531268955037195,0.7368193621461068,1.648271847335936,0.052534571710796785,7.105427357601002e-15,-68358.33323673521,136722.66647347042,136750.3550560778,normalized_piecewise_microdata,69,0.6495993743431695,-68741.38156883512,383.04833209990466,0.6186660708030185,0.6186660708030185,0.0,0.6186660708030185,0.6186660708030185,4.3554021550277655,3.736736084224747,6.039988712124659,log_likelihood,weakly_identified,
1993,income_adj,356.6437655311536,0.520093801182669,185.48821168319822,0.5136296180582676,76818,39456,37362,0.5136296180582676,0.48637038194173243,fixed,1.5271796258079011,1.5271796258079011,1.5299092492571884,0.0027296234492872884,0.30537875959026917,0.2952920931241341,0.9518137663576398,0.006440991234743568,1.178877093982433,2.178877093982433,23.52802442699303,0.6806855591983675,1.935564636191105,0.05243439764498309,7.105427357601002e-15,-67097.82555198828,134201.65110397656,134229.39868677658,normalized_piecewise_microdata,72,0.49532742969778004,-67352.61722949156,254.79167750327906,0.520093801182669,0.520093801182669,0.0,0.520093801182669,0.520093801182669,5.409635867804051,4.889542066621382,9.401269646942131,log_likelihood,weakly_identified,
1995,income_adj,566.5207657533583,0.3754204763987671,212.6834957689201,0.38866327845731097,82246,31966,50280,0.38866327845731097,0.611336721542689,fixed,1.5271796258079011,1.5271796258079011,1.5322653309825154,0.005085705174614263,0.28324040240231674,0.2724362219847372,0.8934827684998462,0.00799858342612047,1.0355090564102032,2.035509056410203,22.785450918204862,0.5834564899627652,2.0396607674478755,0.07093726648750992,0.0,-72795.39272795424,145596.78545590848,145624.73786601415,normalized_piecewise_microdata,71,0.3575433108559686,-73325.64147897578,530.2487510215433,0.3754204763987671,0.3754204763987671,0.0,0.3754204763987671,3.9048496060070508,3.9048496060070508,3.5294291296082836,9.401269646942131,log_likelihood,weakly_identified,
1996,income_adj,584.2302970253653,0.3843774430688062,224.5649477339391,0.39776689665405446,80874,32169,48705,0.39776689665405446,0.6022331033459456,fixed,1.5271796258079011,1.5271796258079011,1.5318632186061967,0.004683592798295555,0.28634035589835716,0.27746440540269407,0.9109572134186947,0.007463829237125898,1.0369248249072816,2.0369248249072816,22.960479610955883,0.5467118586077588,2.2549397138735228,0.07260332153677457,7.105427357601002e-15,-72171.5202220613,144349.0404441226,144376.9423871235,normalized_piecewise_microdata,70,5.102590829328408,-72608.03560453393,436.5153824726294,0.3843774430688062,0.3843774430688062,0.0,0.3843774430688062,5.102590829328408,5.102590829328408,4.718213386259602,12.274948676983131,log_likelihood,weakly_identified,
1997,income_adj,555.5779504636477,0.386987059462914,215.0014773523595,0.39904479959294126,86474,34507,51967,0.39904479959294126,0.6009552004070587,fixed,1.5271796258079011,1.5271796258079011,1.5317977181723748,0.004618092364473636,0.2858612017175699,0.2768175841521049,0.9114137444308134,0.00746451096745515,1.0449158526260771,2.044915852626077,22.894282968342097,0.5537701473925719,2.3711216976348144,0.07356172002142602,7.105427357601002e-15,-76781.60924703364,153569.2184940673,153597.3212912764,normalized_piecewise_microdata,71,0.3685591042503943,-77247.6011190756,465.99187204195186,0.386987059462914,0.386987059462914,0.0,0.386987059462914,4.892603193358859,4.892603193358859,4.505616133895945,11.642808263793457,log_likelihood,weakly_identified,
1998,income_adj,533.1656956356326,0.40592938998696837,216.42762559134997,0.41893722024561003,87130,36502,50628,0.41893722024561003,0.58106277975439,fixed,1.5271796258079011,1.5271796258079011,1.5321107551568547,0.004931129348953567,0.28989861295557295,0.28147650662522633,0.9111636729443446,0.00794296753758137,1.0700529839727972,2.070052983972797,22.85520651962181,0.6036039391800627,2.059691150299697,0.06379751752586005,0.0,-76696.89975373364,153399.79950746728,153427.92497707295,normalized_piecewise_microdata,72,0.38659941903520795,-76998.98366101547,302.0839072818344,0.40592938998696837,0.40592938998696837,0.0,0.40592938998696837,0.40592938998696837,6.238084366455977,5.832154976469009,14.367412462192599,log_likelihood,weakly_identified,
