year,total,income_n,income_n_missing,income_n_zero,income_n_positive,income_zero_fraction,income_missing_fraction,income_sum,income_xmin,income_xmax,income_mean,income_median,income_std,income_gini,income_pietra,income_k,income_zanardi,income_legacy_z,income_top_10_share,income_top_1_share,income_top_0_1_share,income_herfindahl,income_herfindahl_normalized,income_shannon_entropy,income_shannon_inequality,income_theil,income_atkinson_0.5,income_gini_poor,income_gini_rich,income_delta_gini,income_kolkata_excess,income_pietra_over_kolkata_excess,income_pietra_over_gini,income_kolkata_small_g_prediction,income_pietra_small_g_prediction,income_adj_n,income_adj_n_missing,income_adj_n_zero,income_adj_n_positive,income_adj_zero_fraction,income_adj_missing_fraction,income_adj_sum,income_adj_xmin,income_adj_xmax,income_adj_mean,income_adj_median,income_adj_std,income_adj_gini,income_adj_pietra,income_adj_k,income_adj_zanardi,income_adj_legacy_z,income_adj_top_10_share,income_adj_top_1_share,income_adj_top_0_1_share,income_adj_herfindahl,income_adj_herfindahl_normalized,income_adj_shannon_entropy,income_adj_shannon_inequality,income_adj_theil,income_adj_atkinson_0.5,income_adj_gini_poor,income_adj_gini_rich,income_adj_delta_gini,income_adj_kolkata_excess,income_adj_pietra_over_kolkata_excess,income_adj_pietra_over_gini,income_adj_kolkata_small_g_prediction,income_adj_pietra_small_g_prediction
1998,88562,88562,0,1432,87130,0.01616946320092139,0.0,27662250.35384553,0.25,40500.0,312.3489798541759,144.66666666666666,625.4432112744173,0.6095628702929219,0.45837507471998135,0.7286678974691722,0.02375132135095635,-0.1021991814500876,0.49281773377313787,0.1454816096900644,0.03346572150945737,5.656494039327789e-05,4.527392702328877e-05,10.61994032045127,0.06772775004128029,0.7715178302354136,0.31295863726554585,0.3483598707797872,0.42158758270737473,0.07322771192758754,0.4573357949383443,1.002272465425054,0.7519734174420957,0.7285860763598457,0.4571721527196914,88562,0,1432,87130,0.01616946320092139,0.0,46454727.06073266,0.41983864713192665,68013.86083537212,524.5446925400586,242.94663047367487,1050.3409267171965,0.6095628702929214,0.45837507471995903,0.7286678974691543,0.023751321350941414,-0.10219918145008532,0.49281773377309623,0.14548160969001633,0.03346572150940741,5.656494039327789e-05,4.527392702328877e-05,10.61994032045127,0.06772775004128029,0.7715178302354133,0.31295863726554585,0.3483598707797993,0.4215875827073377,0.07322771192753841,0.45733579493830856,1.0022724654250836,0.7519734174420596,0.7285860763598455,0.4571721527196911
1999,91737,91737,0,1365,90372,0.014879492462147224,0.0,28658228.807231158,0.3333333333333333,28445.0,312.3955307807227,147.5,586.008998362155,0.6040101548852972,0.45402268731293294,0.726432063136244,0.02435570093837297,-0.10356605933798825,0.48779133716337075,0.14076024513024654,0.029930660984068602,4.925817266154215e-05,3.835786371164965e-05,10.67848408592312,0.0654780663104988,0.7481969805815124,0.3064049753601188,0.34326964583104574,0.41729571233675045,0.0740260665057047,0.45286412627248795,1.0025582972314038,0.7516805531177747,0.7265038080819864,0.4530076161639729,91737,0,1365,90372,0.014879492462147224,0.0,29175049.17005132,0.339344641828083,28957.975010399463,318.02924850443463,150.16000400892673,596.5770409717175,0.6040101548852974,0.4540226873128803,0.7264320631362278,0.0243557009383257,-0.10356605933799998,0.48779133716328027,0.14076024513016405,0.029930660983984114,4.925817266154215e-05,3.835786371164965e-05,10.67848408592312,0.0654780663104988,0.7481969805815126,0.3064049753601188,0.34326964583105596,0.4172957123366143,0.07402606650555832,0.45286412627245554,1.0025582972313594,0.7516805531176872,0.7265038080819866,0.45300761616397306
2001,101423,101423,0,1885,99538,0.018585527937450084,0.0,36594437.06897673,0.3333333333333333,40000.0,360.8100437669634,180.0,696.2172897722613,0.6045135448171306,0.4520930391602869,0.7255668078822333,0.02409084376178679,-0.10370795303729688,0.48855832554258294,0.1448667815667135,0.03185406826264725,4.657030959417123e-05,3.671097503470282e-05,10.769877237728585,0.06568702240550495,0.7571779311474527,0.30939258739506503,0.34857612485848677,0.42171428026711105,0.07313815540862428,0.45113361576446653,1.0021266945363727,0.747862546730939,0.726692579306424,0.45338515861284795,101423,0,1885,99538,0.018585527937450084,0.0,24936571.88229882,0.227143557687889,27257.226922546677,245.86703097225305,122.65752115146006,474.4238163680741,0.604513544817131,0.4520930391603373,0.7255668078822596,0.02409084376183496,-0.10370795303729029,0.4885583255426713,0.1448667815668232,0.03185406826275572,4.657030959417123e-05,3.671097503470282e-05,10.769877237728585,0.06568702240550495,0.7571779311474526,0.30939258739506514,0.3485761248584351,0.42171428026721003,0.07313815540877494,0.45113361576451916,1.0021266945363676,0.7478625467310217,0.7266925793064242,0.4533851586128483
2002,103914,103914,0,1415,102499,0.013617029466674365,0.0,40934897.36275856,0.2,38000.0,393.93053258231384,200.0,730.338382740047,0.5957395428733008,0.44543005185614093,0.7222218077771636,0.025581777447565797,-0.10563375702974016,0.48115579160571886,0.13711400319095035,0.029270232585369316,4.270069343651775e-05,3.307766937498008e-05,10.824422237705996,0.06292759127581038,0.7268966752511019,0.29835667801180976,0.33909273248216204,0.415058582032399,0.07596584955023694,0.4444436155543272,1.0022194858184281,0.7476926069197878,0.7234023285774878,0.4468046571549756,103914,0,1415,102499,0.013617029466674365,0.0,21966563.616951525,0.1073243859501458,20391.633330527704,211.39176258205367,107.3243859501458,391.9155923169905,0.5957395428733008,0.4454300518561271,0.7222218077771546,0.025581777447543575,-0.10563375702974445,0.48115579160568045,0.13711400319091915,0.029270232585336342,4.2700693436517755e-05,3.307766937498009e-05,10.824422237705996,0.06292759127581038,0.7268966752511019,0.29835667801180976,0.3390927324821875,0.41505858203235696,0.07596584955016944,0.4444436155543092,1.0022194858184374,0.7476926069197646,0.7234023285774878,0.4468046571549756
2003,105676,105676,0,1663,104013,0.015736780347477195,0.0,45407079.432603575,0.14285714285714285,38000.0,429.6820416424124,232.0,775.8540375791118,0.5883019899186346,0.4380738088309375,0.7184705153823872,0.02360597790923598,-0.10874108080522071,0.4716450338467574,0.134729659245442,0.028816189377293022,4.03150176035354e-05,3.085242299759836e-05,10.8625351193525,0.060994973313664436,0.7055979690138221,0.292266112585165,0.339825689764871,0.40848342573784135,0.06865773597297037,0.4369410307647743,1.002592519325046,0.7446410454799337,0.720613246219488,0.44122649243897594,105676,0,1663,104013,0.015736780347477195,0.0,27213934.623492494,0.08561891658290027,22774.631811051477,257.522376163864,139.04512053063007,464.99447486794656,0.5883019899186346,0.43807380883089014,0.7184705153823643,0.02360597790923936,-0.10874108080520663,0.4716450338467121,0.1347296592454046,0.02881618937726116,4.0315017603535386e-05,3.085242299759835e-05,10.862535119352499,0.06099497331366466,0.7055979690138219,0.2922661125851651,0.3398256897648403,0.4084834257378171,0.06865773597297681,0.43694103076472857,1.0025925193250427,0.7446410454798532,0.720613246219488,0.44122649243897594
2004,110351,110351,0,1337,109014,0.012115884767695807,0.0,52479572.0,1.0,61250.0,475.56951908002645,260.0,891.0074390093745,0.5835216952670244,0.43393637954242475,0.716372591667863,0.027845668166547984,-0.10845748396393946,0.4696282393461594,0.13681119579252665,0.031224454345778696,4.087131627152582e-05,3.1809611435243724e-05,10.908974384956768,0.06049621834434038,0.7024470887622687,0.28717475402150494,0.3310513811977389,0.41102145431137027,0.07997007311363136,0.4327451833357261,1.0027526504108413,0.7436508069230432,0.7188206357251341,0.43764127145026827,110351,0,1337,109014,0.012115884767695807,0.0,31010177.431142207,0.5908999682989451,36192.62305831039,281.0140137483322,153.63399175772574,526.4962674647636,0.5835216952670241,0.4339363795424506,0.7163725916678823,0.02784566816654123,-0.10845748396395356,0.469628239346192,0.13681119579259082,0.031224454345841868,4.087131627152582e-05,3.1809611435243724e-05,10.908974384956768,0.06049621834434038,0.7024470887622687,0.28717475402150505,0.3310513811977443,0.4110214543113595,0.0799700731136152,0.4327451833357645,1.002752650410812,0.7436508069230878,0.7188206357251341,0.4376412714502681
2005,114576,114576,0,1253,113323,0.010935972629521017,0.0,60510974.0,1.0,64533.0,528.1295733836056,295.0,969.5543630883552,0.5795971476217232,0.43066132700450527,0.7146009035919015,0.029485651165494793,-0.1089727220854674,0.4673872874695423,0.1355838000558377,0.03010761320748201,3.814263193228646e-05,2.94150573534685e-05,10.957185243569786,0.059387824838785463,0.6918083936769366,0.2830203030959617,0.32681505292510193,0.41061057439077037,0.08379552146566843,0.4292018071838031,1.0034005444438336,0.7430356218481227,0.7173489303581462,0.4346978607162924,114576,0,1253,113323,0.010935972629521017,0.0,43015197.17652883,0.7108660517764732,45874.318919291145,375.4293846575969,209.70548527405958,689.2232820712723,0.5795971476217232,0.43066132700451176,0.714600903591925,0.02948565116548371,-0.10897272208548632,0.4673872874695316,0.13558380005586212,0.03010761320750388,3.8142631932286455e-05,2.9415057353468494e-05,10.957185243569784,0.059387824838785574,0.6918083936769363,0.2830203030959617,0.32681505292508,0.4106105743907211,0.08379552146564107,0.4292018071838499,1.003400544443739,0.7430356218481339,0.7173489303581462,0.4346978607162924
2006,116333,116333,0,1106,115227,0.009507190565015946,0.0,68291514.0,1.0,79400.0,587.0347536812426,330.0,1058.1537565041779,0.5710157172381345,0.4232798804173666,0.7107741295825029,0.03168986399372872,-0.11066185180941368,0.4606905771630718,0.132626588129237,0.02972907329305985,3.652552010223245e-05,2.7929747017613443e-05,10.99336035605665,0.05751367416954767,0.6708516911261867,0.27479622883633503,0.31952454454769497,0.40754825852394666,0.0880237139762517,0.4215482591650057,1.0041077651602472,0.7412753583468235,0.7141308939643004,0.42826178792860087,116333,0,1106,115227,0.009507190565015946,0.0,50346884.9211878,0.7372348623166826,58536.44806794459,432.7824858052986,243.28750456450527,780.1078389862381,0.5710157172381345,0.42327988041732006,0.7107741295824813,0.031689863993692426,-0.11066185180941475,0.46069057716300543,0.13262658812917305,0.029729073292995234,3.652552010223245e-05,2.7929747017613443e-05,10.99336035605665,0.05751367416954767,0.6708516911261865,0.2747962288363349,0.31952454454772616,0.40754825852387316,0.088023713976147,0.42154825916496264,1.0041077651602395,0.7412753583467421,0.7141308939643004,0.42826178792860087
2007,115112,115112,0,1891,113221,0.01642747932448398,0.0,72316912.0,1.0,60000.0,628.2308708040864,365.0,1120.6388194434421,0.5668787248531242,0.4180726566380842,0.7082489914939346,0.029723107957648376,-0.11284430496686854,0.45521412750588675,0.13219162344763857,0.030446748058048034,3.6329124333393296e-05,2.764217286154728e-05,10.991339231267528,0.05683378158185115,0.6623216151757265,0.27383864937726576,0.32311334467617486,0.4046562246885577,0.08154288001238286,0.4164979829878692,1.0037807473614124,0.7374992891934778,0.7125795218199216,0.42515904363984314,115112,0,1891,113221,0.01642747932448398,0.0,59189825.55043265,0.8184783325708467,49108.6999542508,514.1933556052596,298.744591388359,917.2185923522308,0.566878724853124,0.41807265663797877,0.7082489914938854,0.029723107957577058,-0.11284430496686525,0.45521412750575807,0.1321916234475088,0.030446748057924578,3.6329124333393296e-05,2.764217286154728e-05,10.991339231267528,0.05683378158185115,0.6623216151757265,0.27383864937726554,0.3231133446762494,0.4046562246884285,0.08154288001217908,0.41649798298777085,1.0037807473613964,0.7374992891932922,0.7125795218199215,0.42515904363984297
2008,114821,114821,0,1576,113245,0.013725712195504306,0.0,81283557.0,2.0,85000.0,707.9154248787243,415.0,1259.5252391026913,0.5598349140986814,0.4124621131796969,0.7053452328368958,0.03274680754445052,-0.11369464718818258,0.45055356152782533,0.1308253296543116,0.03095530920232714,3.62785178886422e-05,2.756954975171387e-05,11.003430656743184,0.05559109154259656,0.647699016224617,0.26671826503877727,0.3147032259900346,0.40291239685128205,0.08820917086124747,0.4106904656737915,1.0043138267234881,0.7367566809293226,0.7099380927870055,0.419876185574011,114821,0,1576,113245,0.013725712195504306,0.0,66911363.53223796,1.6463689828986683,69970.6817731934,582.744999017932,341.62156395147366,1036.82164341835,0.5598349140986811,0.4124621131797502,0.7053452328369226,0.032746807544497186,-0.11369464718818216,0.45055356152794324,0.13082532965445304,0.030955309202468917,3.62785178886422e-05,2.756954975171387e-05,11.00343065674318,0.05559109154259678,0.6476990162246168,0.2667182650387775,0.31470322599007855,0.40291239685145636,0.0882091708613778,0.41069046567384526,1.0043138267234863,0.736756680929418,0.7099380927870054,0.41987618557401085
2009,117827,117827,0,1625,116202,0.013791406044455006,0.0,89652279.0,1.0,94669.0,760.8806046152409,451.0,1355.6017941113585,0.5559048100990263,0.4087625735559402,0.7034998610165563,0.03202153267775329,-0.11521074499020002,0.44627592902574165,0.128966738257708,0.030512163555820204,3.5426097631395524e-05,2.6939307161530054e-05,11.039339506204888,0.054606038288585235,0.6376332197693134,0.26334586841225893,0.31426612650797664,0.39960632129377816,0.08534019478580152,0.4069997220331125,1.0043313334810686,0.7353103735208284,0.7084643037871349,0.4169286075742697,117827,0,1625,116202,0.013791406044455006,0.0,74000862.10064359,0.8254208696763147,78141.76831138703,628.0467303813523,372.2648122240179,1118.9420118301696,0.5559048100990267,0.40876257355600343,0.7034998610165881,0.03202153267783461,-0.11521074499018888,0.4462759290258308,0.12896673825783422,0.03051216355595321,3.5426097631395524e-05,2.6939307161530054e-05,11.039339506204888,0.054606038288585235,0.637633219769313,0.26334586841225927,0.31426612650788704,0.39960632129391066,0.08534019478602362,0.40699972203317625,1.0043313334810668,0.7353103735209416,0.708464303787135,0.41692860757427
2011,106448,106448,0,1713,104735,0.016092364346911168,0.0,95737573.0,1.0,100000.0,899.3834830151811,545.0,1496.04557534613,0.5427476870178243,0.3967568084342077,0.6974423209411358,0.03301318351607801,-0.11886751074006494,0.43520005463267786,0.12352570291289922,0.026874652441837177,3.538736836157221e-05,2.5993354320484733e-05,10.972345138014974,0.05209894473866894,0.6030667439666958,0.25265477689954596,0.30790293107067757,0.3928148998288622,0.08491196875818463,0.39488464188227157,1.004741046759915,0.7310151990038382,0.7035303826316841,0.4070607652633682,106448,0,1713,104735,0.016092364346911168,0.0,78291233.40669695,0.8177691469857601,81776.91469857602,735.4880637184066,445.6841851072393,1223.4199140026253,0.5427476870178243,0.39675680843412164,0.6974423209410953,0.033013183516066476,-0.11886751074003776,0.43520005463261935,0.12352570291283504,0.02687465244177467,3.538736836157221e-05,2.5993354320484733e-05,10.972345138014973,0.05209894473866905,0.6030667439666957,0.2526547768995461,0.3079029310706856,0.39281489982883416,0.08491196875814855,0.3948846418821905,1.0047410467599032,0.7310151990036796,0.7035303826316841,0.4070607652633682
2012,110502,110502,0,1758,108744,0.015909214312863115,0.0,112078559.0,1.0,100000.0,1014.2672440317822,622.0,1686.304411026255,0.5352162393011684,0.3905414777098181,0.6944853224238045,0.0332909019974804,-0.12099631902878208,0.4277358705156087,0.12230575698247503,0.028630409140074198,3.406418234906548e-05,2.5014798761426896e-05,11.02495307625814,0.05061969421486323,0.5878358230655223,0.2461466094553182,0.3026451868416639,0.3866220587364481,0.0839768718947842,0.3889706448476089,1.00403843550411,0.729689140635471,0.7007060897379381,0.40141217947587626,110502,0,1758,108744,0.015909214312863115,0.0,77565086.60459332,0.6920599916402684,69205.99916402684,701.9337804256332,430.46131480024695,1167.0238165977778,0.5352162393011684,0.3905414777097942,0.6944853224237815,0.033290901997479604,-0.12099631902876375,0.427735870515602,0.12230575698247048,0.028630409140074198,3.4064182349065485e-05,2.5014798761426903e-05,11.02495307625814,0.05061969421486323,0.5878358230655223,0.2461466094553184,0.302645186841696,0.38662205873647465,0.08397687189477865,0.38897064484756294,1.0040384355041674,0.7296891406354262,0.7007060897379381,0.40141217947587626
