year,n,gini,pietra,k,zanardi,legacy_z,top_10_share,top_1_share,top_0_1_share,herfindahl,herfindahl_normalized,shannon_entropy,shannon_inequality,theil,atkinson_0.5,gini_poor,gini_rich,delta_gini,kolkata_excess,pietra_over_kolkata_excess,pietra_over_gini,kolkata_small_g_prediction,pietra_small_g_prediction
1976,148387,0.6136927360052815,0.46448923188940094,0.7307410953776157,0.041033821832468106,-0.094103666397958,0.5100221872561052,0.1657762672087847,0.04798937866085795,4.740020777151821e-05,4.066134696394723e-05,11.072396207253389,0.07013875761059352,0.8351827975466638,0.3164330710721719,0.3228027164139302,0.4507877965305012,0.127985080116571,0.46148219075523134,1.0065160502277422,0.7568758837083636,0.7301347760019805,0.46026955200396114
1977,192959,0.6331139745324665,0.4794903292095212,0.7386463443787745,0.042488483150874404,-0.08804418516955399,0.5320929593386428,0.18894951248212177,0.06709569844681362,5.307761004328666e-05,4.789541017393708e-05,11.229699314721454,0.07728148627765485,0.9405336953648478,0.34069411985393083,0.3339099218877767,0.4732538325446427,0.13934391065686602,0.47729268875754904,1.004604387420417,0.7573523070053995,0.7374177404496749,0.4748354808993499
1978,215695,0.6190917906189892,0.46810061477744735,0.7331543871957512,0.03142197828617784,-0.09632070691002645,0.509639992823469,0.1546607584454358,0.040439725053063036,2.7850779975627318e-05,2.3214711521150028e-05,11.46175366289127,0.06675560271081837,0.8198669888742406,0.32015433770352875,0.34075492564539556,0.440188503034448,0.09943357738905245,0.4663087743915024,1.0038426049097686,0.7561085801338511,0.732159421482121,0.4643188429642419
1979,171371,0.7288355532327915,0.566076183788813,0.7794482264194571,0.06498071562418689,-0.05354310205690975,0.6524295267624272,0.40059629479512804,0.09959334218286497,0.00020329824195360776,0.00019746410119526005,10.30339352438582,0.14505912670412935,1.7481925515791186,0.48649930009053055,0.3565231212556323,0.6320197012453158,0.2754965799896835,0.5588964528389142,1.0128462632271673,0.776685743825133,0.7733133324622968,0.5466266649245937
1981,472198,0.588486655721123,0.44180024835598664,0.7205455417455862,0.022066752388014296,-0.10897006526325484,0.47029748235265734,0.12589107111681486,0.027128340915363647,8.45931751038932e-06,6.34157525306348e-06,12.374811865337033,0.052838399021514104,0.6903418027941117,0.28466426606220996,0.33375498407536636,0.3982464967072476,0.06449151263188124,0.4410910834911723,1.0016077515310475,0.7507396201101808,0.7206824958954211,0.44136499179084226
1982,206845,0.5898439323148561,0.44197560748809456,0.7204863199960878,0.026502594490490868,-0.10688260683214772,0.4757140923044064,0.12898897126169362,0.02789312066752192,2.0329123434920693e-05,1.5494660405407797e-05,11.535740907168265,0.05751633246277754,0.7039840923237529,0.2889110089998247,0.33080512434665726,0.4084292462764805,0.07762412192982321,0.4409726399921756,1.002274443820226,0.7493094075810038,0.721191474618071,0.4423829492361421
1983,499797,0.5984475364064354,0.45192795088666077,0.7255842192606875,0.02168100371519114,-0.10603330848091104,0.4788964464965827,0.13248846452116947,0.030577189627159274,8.896379160771625e-06,6.895580627728465e-06,12.399176404530333,0.05508178956740484,0.7227808904336827,0.29441785290679445,0.33725821772341996,0.4024223409215477,0.06516412319812775,0.451168438521375,1.0016834341687884,0.755167200788231,0.7244178261524132,0.4488356523048266
1984,504543,0.5907641612179759,0.44505261498723514,0.7221229118194434,0.024184741006162098,-0.10733887123456311,0.47411982989107937,0.12635455451939992,0.025614284346508254,7.858216253035619e-06,5.876236275583302e-06,12.435780021193828,0.05297438845979918,0.6956283268537208,0.28622595974251164,0.3294875133109905,0.40068943544032254,0.07120192212933202,0.44424582363888687,1.001816092139572,0.7533507348679921,0.721536560456741,0.44307312091348194
1985,514137,0.6020969269730709,0.45355558839800614,0.7264272010686054,0.02241790692054757,-0.10477631339001031,0.48381655609752516,0.13734837166333302,0.0329598601468597,8.999238162819157e-06,7.054245007774894e-06,12.410638374637212,0.05624280526100889,0.7396066712504032,0.2992855737727639,0.3415294076896976,0.40944921741179635,0.06791980972209877,0.45285440213721073,1.0015483701990888,0.7532933122216244,0.7257863476149016,0.4515726952298032
1986,284142,0.5930790055733721,0.44469545804926214,0.721918005548659,0.024300114921456353,-0.10680111697482676,0.4754459450184656,0.13895164120429826,0.037182041241290764,1.9484019356535257e-05,1.5964708465179756e-05,11.827511709110063,0.05811136041912812,0.729717683074933,0.29158701584530466,0.3358144342951111,0.4076038030803812,0.07178936878527009,0.4438360110973181,1.0019364065340692,0.7498081265232834,0.7224046270900145,0.4448092541800291
1987,292615,0.6046304992950189,0.45396419217544515,0.7267185094855623,0.019125354224481233,-0.1054704283178042,0.483846908671026,0.13988360879311534,0.03390413751563148,1.621283328175254e-05,1.2795417207447421e-05,11.83895514648016,0.0594010384263548,0.747657884298972,0.3027741999663407,0.35153728492378367,0.40976410845030825,0.058226823526524585,0.45343701897112454,1.0011626161567417,0.7508125916650812,0.7267364372356321,0.45347287447126416
1988,289633,0.6245229030230623,0.4717852816703003,0.7354975364206187,0.02082045672608121,-0.09890036247134054,0.5069927590632928,0.14986604367576328,0.036480405217531264,1.836173597352584e-05,1.4909142205350959e-05,11.764226836988133,0.0645769052459102,0.8121430462899675,0.3242042831395,0.36117076314644736,0.42800941448268925,0.0668386513362419,0.4709950728412373,1.0016777433026978,0.7554331144407658,0.7341960886336484,0.46839217726729676
1989,113568,0.6849621476812187,0.5254684297179391,0.7625572865096807,0.01586508457021638,-0.08322569043273866,0.5693846717212667,0.19931667516730733,0.059071972073720724,8.207064009313077e-05,7.326598795509853e-05,10.58314692642152,0.09080720509094387,1.0570101290247018,0.3967657398845703,0.4114038757437482,0.4714213398893521,0.06001746414560388,0.5251145730193614,1.0006738656985714,0.7671495884798761,0.756860805380457,0.5137216107609139
1990,115785,0.6608834465792262,0.5014083268909622,0.750603452394576,0.01132202121846417,-0.09207886617228914,0.5376052047598883,0.1769724778433005,0.04937926561079209,6.784858462758603e-05,5.9212398700209425e-05,10.710833965329238,0.0813634483280854,0.9486563367228251,0.36746760845150117,0.4065056218910692,0.44647688235639615,0.03997126046532695,0.5012069047891521,1.0004018741559333,0.7586940321871926,0.7478312924672098,0.4956625849344196
1992,76440,0.5856840442536253,0.43431213350819176,0.7167079609202114,0.020203574850999415,-0.11102064092693202,0.465834696511192,0.1377168082301652,0.03669236220009875,6.56582627136737e-05,5.257679459220055e-05,10.533371867477072,0.06322243015278783,0.7108895308771394,0.2914072541940732,0.3458353765571368,0.4041147688931432,0.058279392336006375,0.43341592184042277,1.0020677866746643,0.7415468079921206,0.7196315165951095,0.439263033190219
1993,77843,0.6097346922973306,0.45720440352020153,0.7279074113905831,0.02733777502866756,-0.10086423066792778,0.495802694773114,0.153344320297794,0.04076875686111048,7.661547024846771e-05,6.376991920237754e-05,10.470101113960975,0.07035309324745986,0.792348142752337,0.3151528232710299,0.3464917670085142,0.4306528310255551,0.08416106401704093,0.45581482278116625,1.0030485641747162,0.7498415446848983,0.728650509611499,0.45730101922299793
1995,83455,0.607814895393497,0.45758507259690545,0.728332646906708,0.023618375055198322,-0.10269608357284708,0.4907062090724891,0.14423860871935845,0.03259526648697231,5.685307383086414e-05,4.4871105957231126e-05,10.569422728449258,0.06729931924147359,0.762640114963259,0.3104229996308425,0.3456764785830939,0.41822926980335273,0.07255279122025882,0.4566652938134159,1.0020141201793744,0.7528362270567039,0.7279305857725613,0.45586117154512273
1996,82551,0.6093421955329017,0.45792350414386795,0.7286773716283215,0.017350253538443484,-0.10478586874078834,0.48735094685968483,0.14019100697853226,0.03276350160533925,5.628331351794528e-05,4.417012494512296e-05,10.562399463658364,0.06702240092862921,0.7587720994869178,0.3132082033947847,0.35763896598698236,0.41111334869080174,0.05347438270381938,0.45735474325664294,1.001243588036663,0.7515046676578664,0.7285033233248381,0.4570066466496763
1997,87988,0.6087982134452548,0.45678271765155215,0.7280504056763202,0.020337877672139456,-0.10382411372408257,0.4893153025853313,0.14488984506141334,0.03461111428118957,5.8209292667612934e-05,4.6844638903905436e-05,10.61681671850365,0.067469652133746,0.7681390020219666,0.31279618658539987,0.35434517794979165,0.41688103938019727,0.06253586143040563,0.45610081135264036,1.0014950780220924,0.7503023293491113,0.7282993300419706,0.45659866008394107
1998,88562,0.6095628702929219,0.45837507471998135,0.7286678974691722,0.02375132135095635,-0.1021991814500876,0.49281773377313787,0.1454816096900644,0.03346572150945737,5.656494039327789e-05,4.527392702328877e-05,10.61994032045127,0.06772775004128029,0.7715178302354136,0.31295863726554585,0.3483598707797872,0.42158758270737473,0.07322771192758754,0.4573357949383443,1.002272465425054,0.7519734174420957,0.7285860763598457,0.4571721527196914
1999,91737,0.6040101548852972,0.45402268731293294,0.726432063136244,0.02435570093837297,-0.10356605933798825,0.48779133716337075,0.14076024513024654,0.029930660984068602,4.925817266154215e-05,3.835786371164965e-05,10.67848408592312,0.0654780663104988,0.7481969805815124,0.3064049753601188,0.34326964583104574,0.41729571233675045,0.0740260665057047,0.45286412627248795,1.0025582972314038,0.7516805531177747,0.7265038080819864,0.4530076161639729
2001,101423,0.6045135448171306,0.4520930391602869,0.7255668078822333,0.02409084376178679,-0.10370795303729688,0.48855832554258294,0.1448667815667135,0.03185406826264725,4.657030959417123e-05,3.671097503470282e-05,10.769877237728585,0.06568702240550495,0.7571779311474527,0.30939258739506503,0.34857612485848677,0.42171428026711105,0.07313815540862428,0.45113361576446653,1.0021266945363727,0.747862546730939,0.726692579306424,0.45338515861284795
2002,103914,0.5957395428733008,0.44543005185614093,0.7222218077771636,0.025581777447565797,-0.10563375702974016,0.48115579160571886,0.13711400319095035,0.029270232585369316,4.270069343651775e-05,3.307766937498008e-05,10.824422237705996,0.06292759127581038,0.7268966752511019,0.29835667801180976,0.33909273248216204,0.415058582032399,0.07596584955023694,0.4444436155543272,1.0022194858184281,0.7476926069197878,0.7234023285774878,0.4468046571549756
2003,105676,0.5883019899186346,0.4380738088309375,0.7184705153823872,0.02360597790923598,-0.10874108080522071,0.4716450338467574,0.134729659245442,0.028816189377293022,4.03150176035354e-05,3.085242299759836e-05,10.8625351193525,0.060994973313664436,0.7055979690138221,0.292266112585165,0.339825689764871,0.40848342573784135,0.06865773597297037,0.4369410307647743,1.002592519325046,0.7446410454799337,0.720613246219488,0.44122649243897594
2004,110351,0.5835216952670244,0.43393637954242475,0.716372591667863,0.027845668166547984,-0.10845748396393946,0.4696282393461594,0.13681119579252665,0.031224454345778696,4.087131627152582e-05,3.1809611435243724e-05,10.908974384956768,0.06049621834434038,0.7024470887622687,0.28717475402150494,0.3310513811977389,0.41102145431137027,0.07997007311363136,0.4327451833357261,1.0027526504108413,0.7436508069230432,0.7188206357251341,0.43764127145026827
2005,114576,0.5795971476217232,0.43066132700450527,0.7146009035919015,0.029485651165494793,-0.1089727220854674,0.4673872874695423,0.1355838000558377,0.03010761320748201,3.814263193228646e-05,2.94150573534685e-05,10.957185243569786,0.059387824838785463,0.6918083936769366,0.2830203030959617,0.32681505292510193,0.41061057439077037,0.08379552146566843,0.4292018071838031,1.0034005444438336,0.7430356218481227,0.7173489303581462,0.4346978607162924
2006,116333,0.5710157172381345,0.4232798804173666,0.7107741295825029,0.03168986399372872,-0.11066185180941368,0.4606905771630718,0.132626588129237,0.02972907329305985,3.652552010223245e-05,2.7929747017613443e-05,10.99336035605665,0.05751367416954767,0.6708516911261867,0.27479622883633503,0.31952454454769497,0.40754825852394666,0.0880237139762517,0.4215482591650057,1.0041077651602472,0.7412753583468235,0.7141308939643004,0.42826178792860087
2007,115112,0.5668787248531242,0.4180726566380842,0.7082489914939346,0.029723107957648376,-0.11284430496686854,0.45521412750588675,0.13219162344763857,0.030446748058048034,3.6329124333393296e-05,2.764217286154728e-05,10.991339231267528,0.05683378158185115,0.6623216151757265,0.27383864937726576,0.32311334467617486,0.4046562246885577,0.08154288001238286,0.4164979829878692,1.0037807473614124,0.7374992891934778,0.7125795218199216,0.42515904363984314
2008,114821,0.5598349140986814,0.4124621131796969,0.7053452328368958,0.03274680754445052,-0.11369464718818258,0.45055356152782533,0.1308253296543116,0.03095530920232714,3.62785178886422e-05,2.756954975171387e-05,11.003430656743184,0.05559109154259656,0.647699016224617,0.26671826503877727,0.3147032259900346,0.40291239685128205,0.08820917086124747,0.4106904656737915,1.0043138267234881,0.7367566809293226,0.7099380927870055,0.419876185574011
2009,117827,0.5559048100990263,0.4087625735559402,0.7034998610165563,0.03202153267775329,-0.11521074499020002,0.44627592902574165,0.128966738257708,0.030512163555820204,3.5426097631395524e-05,2.6939307161530054e-05,11.039339506204888,0.054606038288585235,0.6376332197693134,0.26334586841225893,0.31426612650797664,0.39960632129377816,0.08534019478580152,0.4069997220331125,1.0043313334810686,0.7353103735208284,0.7084643037871349,0.4169286075742697
2011,106448,0.5427476870178243,0.3967568084342077,0.6974423209411358,0.03301318351607801,-0.11886751074006494,0.43520005463267786,0.12352570291289922,0.026874652441837177,3.538736836157221e-05,2.5993354320484733e-05,10.972345138014974,0.05209894473866894,0.6030667439666958,0.25265477689954596,0.30790293107067757,0.3928148998288622,0.08491196875818463,0.39488464188227157,1.004741046759915,0.7310151990038382,0.7035303826316841,0.4070607652633682
2012,110502,0.5352162393011684,0.3905414777098181,0.6944853224238045,0.0332909019974804,-0.12099631902878208,0.4277358705156087,0.12230575698247503,0.028630409140074198,3.406418234906548e-05,2.5014798761426896e-05,11.02495307625814,0.05061969421486323,0.5878358230655223,0.2461466094553182,0.3026451868416639,0.3866220587364481,0.0839768718947842,0.3889706448476089,1.00403843550411,0.729689140635471,0.7007060897379381,0.40141217947587626
2013,111029,0.5363271946845505,0.3911144388702213,0.6945425916919177,0.031820920739124625,-0.12136405657460768,0.4286350079346152,0.1195639416782951,0.02698392756720769,3.272761520337613e-05,2.372117293309479e-05,11.031233943168782,0.050467863743473895,0.586312764264169,0.24821134856882288,0.30679621704751636,0.38724009797762027,0.0804438809301039,0.38908518338383535,1.0052154529985895,0.7292459579646369,0.7011226980067065,0.40224539601341286
2014,115020,0.5248901286181216,0.3832161605192455,0.6906854668951715,0.03778716513679985,-0.12212861310224817,0.4215550459989613,0.11668616576031399,0.02504620644539446,3.015368655646061e-05,2.145973298084751e-05,11.093401638659877,0.04801049733209828,0.5594596666078667,0.2334357546894219,0.2894720868444657,0.38231143300666304,0.09283934616219736,0.38137093379034304,1.0048384042028669,0.7300883358735262,0.6968337982317956,0.3936675964635912
2015,115625,0.5229362857855879,0.3812025384546843,0.689616593353481,0.037139096139403444,-0.12304322824422732,0.419248178641939,0.1152201025703935,0.023429434484882106,2.8832722579913053e-05,2.01842484977379e-05,11.105511764000198,0.04740012150413886,0.5525957108145282,0.23176062285954957,0.29031605544293465,0.38105086033441815,0.0907348048914835,0.37923318670696204,1.0051929836753555,0.7289655524324876,0.6961011071695955,0.39220221433919095
2016,229781,0.47982986009352535,0.3495668026736747,0.6727809884659521,0.0500552911448278,-0.13042161492367457,0.38754393708150414,0.09991594992072006,0.016261161378079314,1.1689580957773873e-05,7.337642971791446e-06,11.88501276911683,0.03725180951471063,0.45986919126991377,0.1970429961982718,0.2504008571914793,0.35950092578784465,0.10910006859636534,0.34556197693190427,1.011589312508649,0.7285224029316129,0.679936197535072,0.359872395070144
2017,228485,0.48790585792163244,0.35479412610546024,0.6759455846992102,0.048489845422260903,-0.12866487679624058,0.3942162089908541,0.10504771613933195,0.018363241816997222,1.2399392867021663e-05,8.022773057288233e-06,11.859042211010355,0.038915215330311836,0.48018363063705627,0.20435225783467803,0.2564704905359757,0.36447879620059587,0.10800830566462016,0.35189116939842036,1.0082495866889831,0.7271774264338662,0.6829646967206122,0.3659293934412243
