year,source,gini,gini_calculated,difference,absolute_difference
2007,Banco Mundial,0.549191681065,0.5668787248531242,0.017687043788124135,0.017687043788124135
2008,Banco Mundial,0.540375889542,0.5598349140986814,0.01945902455668136,0.01945902455668136
2009,Banco Mundial,0.536820020289,0.5559048100990263,0.01908478981002626,0.01908478981002626
2011,Banco Mundial,0.529417718899,0.5427476870178243,0.013329968118824254,0.013329968118824254
2012,Banco Mundial,0.534459752729,0.5352162393011684,0.0007564865721683134,0.0007564865721683134
2013,Banco Mundial,0.527108703138,0.5363271946845505,0.009218491546550522,0.009218491546550522
2014,Banco Mundial,0.52051631641,0.5248901286181216,0.004373812208121608,0.004373812208121608
2015,Banco Mundial,0.519366717318,0.5229362857855879,0.0035695684675879358,0.0035695684675879358
2016,Banco Mundial,0.533623062525,0.47982986009352535,-0.053793202431474674,0.053793202431474674
2017,Banco Mundial,0.53286657297,0.48790585792163244,-0.04496071504836752,0.04496071504836752
2018,Banco Mundial,0.538905021683,0.4987194137250648,-0.04018560795793524,0.04018560795793524
2019,Banco Mundial,0.534758476099,0.5028341835460923,-0.03192429255290763,0.03192429255290763
2020,Banco Mundial,0.488220629536,0.48931027330835963,0.0010896437723596497,0.0010896437723596497
2021,Banco Mundial,0.528508850596,0.47858992118967913,-0.04991892940632081,0.04991892940632081
2022,Banco Mundial,0.518944401741,0.49170241581764795,-0.02724198592335203,0.02724198592335203
2023,Banco Mundial,0.514862434537,0.49025243398858787,-0.024610000548412114,0.024610000548412114
2024,Banco Mundial,0.502581211667,0.49140334798190977,-0.011177863685090217,0.011177863685090217
2025,Banco Mundial,,0.4870224093224147,,
1981,IPEA,,0.588486655721123,,
1982,IPEA,,0.5898439323148561,,
1983,IPEA,,0.5984475364064354,,
1984,IPEA,,0.5907641612179759,,
1985,IPEA,,0.6020969269730709,,
1986,IPEA,,0.5930790055733721,,
1987,IPEA,,0.6046304992950189,,
1988,IPEA,,0.6245229030230623,,
1989,IPEA,,0.6849621476812187,,
1990,IPEA,,0.6608834465792262,,
1992,IPEA,,0.5856840442536253,,
1993,IPEA,,0.6097346922973306,,
1995,IPEA,0.615,0.607814895393497,-0.007185104606503012,0.007185104606503012
1996,IPEA,0.616,0.6093421955329017,-0.006657804467098294,0.006657804467098294
1997,IPEA,0.616,0.6087982134452548,-0.0072017865547452375,0.0072017865547452375
1998,IPEA,0.614,0.6095628702929219,-0.004437129707078102,0.004437129707078102
1999,IPEA,0.608,0.6040101548852972,-0.003989845114702795,0.003989845114702795
2001,IPEA,0.61,0.6045135448171306,-0.0054864551828693875,0.0054864551828693875
2002,IPEA,0.603,0.5957395428733008,-0.007260457126699205,0.007260457126699205
2003,IPEA,0.596,0.5883019899186346,-0.007698010081365392,0.007698010081365392
2004,IPEA,0.585,0.5835216952670244,-0.0014783047329756105,0.0014783047329756105
2005,IPEA,0.582,0.5795971476217232,-0.002402852378276754,0.002402852378276754
2006,IPEA,0.575,0.5710157172381345,-0.003984282761865465,0.003984282761865465
2007,IPEA,0.568,0.5668787248531242,-0.0011212751468757665,0.0011212751468757665
2008,IPEA,0.558,0.5598349140986814,0.0018349140986813062,0.0018349140986813062
2009,IPEA,0.554,0.5559048100990263,0.0019048100990262107,0.0019048100990262107
2011,IPEA,0.543,0.5427476870178243,-0.0002523129821757619,0.0002523129821757619
2012,IPEA,0.54,0.5352162393011684,-0.004783760698831685,0.004783760698831685
2013,IPEA,0.532,0.5363271946845505,0.0043271946845504505,0.0043271946845504505
2014,IPEA,0.526,0.5248901286181216,-0.0011098713818784578,0.0011098713818784578
2015,IPEA,0.524,0.5229362857855879,-0.0010637142144120926,0.0010637142144120926
2016,IPEA,0.537,0.47982986009352535,-0.05717013990647468,0.05717013990647468
2017,IPEA,0.539,0.48790585792163244,-0.0510941420783676,0.0510941420783676
2018,IPEA,0.545,0.4987194137250648,-0.046280586274935254,0.046280586274935254
2019,IPEA,0.543,0.5028341835460923,-0.04016581645390771,0.04016581645390771
2020,IPEA,0.523,0.48931027330835963,-0.03368972669164039,0.03368972669164039
2021,IPEA,0.544,0.47858992118967913,-0.0654100788103209,0.0654100788103209
2022,IPEA,0.517,0.49170241581764795,-0.025297584182352062,0.025297584182352062
2023,IPEA,0.517,0.49025243398858787,-0.02674756601141215,0.02674756601141215
2024,IPEA,0.504,0.49140334798190977,-0.012596652018090237,0.012596652018090237
2025,IPEA,0.511,0.4870224093224147,-0.023977590677585314,0.023977590677585314
